ID|Department|Num|Title|Units|Description
ACCT5390|ACCT|5390|Advanced Accounting|3|"Semester Prerequisite:  ACCT 3730 with a ""C"" or better grade. Quarter Prerequisite: ACCT 373 with a ""C"" or better gradeTopics include accounting and reporting for mergers and acquisitions, accounting for consolidation, accounting for partnerships, foreign currency transaction and translation, and accounting for segment reporting.  Formerly offered as ACCT 539."
ACCT5410|ACCT|5410|EDP Auditing and Control|3|Semester Prerequisite:  ACCT 4400. Quarter Prerequisite: ACCT 440This course builds on the knowledge base from Introductory Auditing, not only to provide students with an in-depth understanding of professional standards, but also to prepare students for the responsibilities and challenges faced as an auditor in charge. The course assumes a base line knowledge of internal and external audit, and will also cover advanced topics concerning complex auditing judgments. Materials fee required. Formerly ACCT 541.
ACCT5440|ACCT|5440|Accounting Law, Ethics and Institutions|3|Semester Prerequisite:  MGMT 2300 or equivalent. Quarter Prerequisite: MGMT 230 or equivalentAdvanced accounting law topics, ethical standards, and institutions for professional accountants. Emphasis on legal problems encountered in the public accounting profession, including an examination of the ethical standards and political and regulatory institutions that affect the practice of public accounting. Formerly offered as ACCT 544.
ACCT5470|ACCT|5470|Advanced Cost Accounting|3|Semester Prerequisite:  ACCT 3470. Quarter Prerequisite: ACCT 347 or equivalentProduct and service costing with attention to analysis of overhead and multiple allocation techniques. Topics include joint costs, byproducts, spoilage, rework and scrap. Alternative costing systems including operations costing and process costing. Valuation of inventory for decision-making purposes. Procedures for just-in-time inventory management are included. Formerly offered as ACCT 547.
ACCT5560|ACCT|5560|Estates and Gifts, Ethics and other Specialized Taxation Topics|3|Semester Prerequisite:  ACCT 4260. Quarter Prerequisite: ACCT 426Professional ethics in tax practices and taxation topics not covered in depth in ACCT 4260 and 5360, including gift and estate tax, income taxation of trusts and estates, tax administration and practice, working with tax law, advanced individual income tax topics, and other special topics. Formerly offered as ACCT 556.
ACCT5680|ACCT|5680|Accounting for Government and Not-for-Profit Organizations|3|Semester Prerequisite:  ACCT 2110. Quarter Prerequisite: ACCT 211Provides students an opportunity to study the specialized the GASB accounting principles applicable to state and local governments. It affords learners an opportunity to acquire proficiency with the FASB financial reporting standards applicable to a variety of tax exempt non-profit organizations encountered in practice with an emphasis on fair value accounting and the basic principles used to record of assets, liabilities, equity, revenues, and expenditures. The course also covers the analysis and interpretation of government financial statements. Previously offered as ACCT 468.
ACCT5753|ACCT|5753|Accounting Internship|3|Supervised work and study in Accounting functions of private or public organizations. May be repeated once for credit. A total of six units of ACCT 5753 (Accounting Internship) course may be applied toward graduation. May be taken two times for six units. Graded credit/no credit. Formerly ACCT 575.
ACCT5755|ACCT|5755|Internship|1|Semester Prerequisite:  Consent of college internship coordinator. Quarter Prerequisite: senior standing preferred; consent of instructor and the departments internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 5753 or 5755 courses may be applied toward graduation. Graded credit/no credit.
ACCT5915|ACCT|5915|Seminar in Accounting|1|An intensive study of some phase of accounting to be developed by the instructor. May be repeated for credit as topics change.
ACCT5930|ACCT|5930|Seminar in Accounting|3|An intensive study of some phase of accounting to be developed by the instructor. May be repeated for credit as topics change. Formerly offered as ACCT 590.
ACCT5951|ACCT|5951|Independent Study|1|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Course is cross-listed across different departments within the college.
ACCT5952|ACCT|5952|Independent Study|2|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Formerly offered as 595B. Course is cross-listed across different departments within the college.
ACCT5953|ACCT|5953|Independent Study|3|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Formerly offered as 595D. Course is cross-listed across different departments within the college.
ACCT5955|ACCT|5955|Independent Study|1|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Course is cross-listed across different departments within the college.
ACCT5980|ACCT|5980|CPA Preparation & Practice|0|Students will practice mock CPA questions and understand CPA exam structure and registration process. Graded CR/NC. May be taken four times.
ACCT6060|ACCT|6060|Accounting for Managerial Decision-Making|3|Semester Prerequisite:  ADMN 9992How to use financial information on financial statements or other statements provided by accounting professionals for business decisions such as firm valuations, investment decisions, managerial decisions and contracting will be discussed in-depth. Relevant practical cases will be heavily used for students to gain competence in using financial information to support business decisions. Formerly ACCT 606.
ACCT6100|ACCT|6100|Financial Accounting from the User Perspective with Data Analytics in Accounting|3|Semester Prerequisite:  MBA Students ACCT 6060, MSA Students advance to candidacy or department approvalAn in-depth study of financial accounting from the user perspective will be conducted. Reporting/ disclosing financial information, use of financial information with other relevant information for economic decisions, accounting information manipulations, and data analytics in accounting are the major topics to be discussed in this course. Formerly ACCT 610.
ACCT6150|ACCT|6150|Controllership and Professional Ethics|3|Semester Prerequisite:  MBA Students ACCT 6060, MSA Students advance to candidacy or department approval. Quarter Prerequisite: MBA Students ACCT 606, MSA Students consent of MSA director or department chairDesigning and implementing control systems used to plan and control the firm's performance through case analysis. Topics of cases include Ethics, Cost Behavior Analysis, Balanced Scorecard, Activity Based Management, Target Costing, Transfer Pricing, Quality Cost, Environmental Cost and Performance Evaluation. Formerly ACCT 615.
ACCT6200|ACCT|6200|Seminar in Advanced Auditing, Accounting Information Systems and Accounting Data Analytics|3|Semester Prerequisite:  Advancement to candidacy or department approvalThe aim of the current coursework is to prepare students for the CPA exam. The topics covered are based on multiple sources - Principles of Auditing textbook, Becker CPA review textbook and Auditing & Fraud Case Studies (online and offline). The topics are carefully selected to give students a complete overview of the CPA exam requirements. Formerly ACCT 620.
ACCT6250|ACCT|6250|Adanced Internal Auditing|3|Internal Auditing is about evaluation of the organization's internal controls, accounting processes and corporate governance. Critical functions of Internal Auditors involve ensuring timely and accurate financial reporting, collection and processing of data helping operational efficiency and data integrity, etc. This course focuses on learning critical skillsets to be successful as an Internal Auditor. Certification available for this field of accounting is the CIA (Certified Internal Auditor).
ACCT6300|ACCT|6300|Advanced Tax Topics: Corporate Taxation|3|Semester Prerequisite:  Advancement to candidacy or department approval. Quarter Prerequisite: Consent of MSA director or department chairThe study of federal tax consequences of the formation, operation, reorganization, and liquidation of corporations from the standpoint of the corporation and shareholders, with some reference to the taxation of S corporations. Formerly ACCT 630.
ACCT6420|ACCT|6420|International Accounting|3|Semester Prerequisite:  Advancement to candidacy or department approval. Quarter Prerequisite: Consent of MSA director or department chairCurrent developments in international accounting. Explains similarities and differences among US GAAP and international accounting standards. Discusses social, economic, and political influences on comparative accounting theories and practices. Formerly ACCT 642.
ACCT6500|ACCT|6500|Advanced Financial Reporting Seminar|3|Semester Prerequisite:  Advancement to candidacy or department approvalProvides update on accounting and auditing standards, focusing on regulations applicable to complex financial transactions. Includes case studies and an emphasis on professional research to address questions pertaining to professional practice.
ACCT6755|ACCT|6755|Internship|1|Semester Prerequisite:  Consent of college internship coordinator. Quarter Prerequisite: senior standing preferred; consent of instructor and the departments internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 5753 or 5755 courses may be applied toward graduation. Graded credit/no credit.
ACCT6960|ACCT|6960|MSA Project|3|Semester Prerequisite:  Advancement to candidacy or department approval. Quarter Prerequisite: Consent of MSA director or department chairStudents demonstrate their readiness to enter the accounting profession by completing a series of projects that require the application of knowledge and skills learned in the MSA program. Graded credit/no credit. Formerly ACCT 697.
ACCT6970|ACCT|6970|MSA Comprehensive Examination|3|Semester Prerequisite:  Advancement to candidacy, approval of MSA Coordinator and/or Department Chair, and in good academic standingThis course will prepare students to take the comprehensive exam for the Master of Science in Accountancy (Online). The comprehensive examination will be taken at the end of the course. Weekly study guidelines will be offered. The comprehensive examination will consist of an assessment of the student's ability to integrate the knowledge of the area, show critical and independent thinking and demonstrate mastery of the subject matter in the concentration.  Must be taken in the final semester of coursework.  May be taken two times for six units with the approval of the MSA Coordinator and/or Department Chair.
ACCT6990|ACCT|6990|Continuous Enrollment for Graduate Candidacy Standing|0|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ACCT6991|ACCT|6991|Continuous Enrollment for Graduate Candidacy Standing|1|Quarter Prerequisite:  Advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ACCT6992|ACCT|6992|Continuous Enrollment for Graduate Candidacy Standing|2|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ACCT6993|ACCT|6993|Continuous Enrollment for Graduate Candidacy Standing|3|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ACCT6994|ACCT|6994|Continuous Enrollment for Graduate Candidacy Standing|4|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ACCT6995|ACCT|6995|Continuous Enrollment for Graduate Candidacy Standing|5|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ACCT6996|ACCT|6996|Continuous Enrollment for Graduate Candidacy Standing|6|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ADMN1001|ADMN|1001|Leadership for Global Challenges: Exploring the Entrepreneurial Mindset|3|This experiential, discussion-based course explores the concept of entrepreneurship and how the entrepreneurial lens can be employed to help individuals understand, interact and change the world around them by solving pressing personal, social and global problems. Students will learn the skills and abilities consistent with an entrepreneurial mindset to develop as a whole person by better understanding human behavior, creative endeavors, social relationships, one's relationship to the environment and how stress and failure can be managed.  Satisfies GE Category E.
ADMN1002|ADMN|1002|Leadership for Global Challenges: Citizenship in a Sustainable World|3|Appreciate diverse regional cultures in the world as systems of social, human and ecological environments, with specific leadership value theories and practice perspectives. Understanding of self's role as a decision maker in a wide variety of career contexts using the lens of responsible management with transcultural citizenship. Focus on how our decisions impact sustainability of organizations and society, and how a sustainability mindset can enhance personal success and transpersonal growth. Satisfies GE Category E. Satisfies GE designation G. Satisfies Environmental Sustainability Pathway and Minor.
ADMN1003|ADMN|1003|Leadership for Global Challenges: Exploring the Digital Mindset|3|The focus of this course is to develop student digital literacy, thus transforming them into savvy, evidence driven, lifelong, and secure and informed global digital citizen. The learning process uses an interdisciplinary story driven digital mindset lens, where the student learns about and reflects on how individuals and organizations leverage digital media and other technologies to create value. Students create their own stories on how the course has prepared them for a future world where humans and machines collaborate in an automated and knowledge based society. Satisfies GE category E; Satisfies Information Literacy Pathway and Digital Literacy Minor.
ADMN1500|ADMN|1500|Introduction to Administration|1|Introduction to the administrative process. Strategies to achieve success in business and public careers. Includes the development of administrative theories and practices and provides an overview of the functional areas of business and public administration. Formerly offered as MGMT 100.
ADMN2100|ADMN|2100|Applied Business Statistics|3|An introduction to statistical reasoning and application of primary statistical techniques used in solving managerial problems. Covers both descriptive and inferential statistics. Formerly offered as ADMN 210. Materials fee required.
ADMN4900|ADMN|4900|Administration Capstone|1|Semester Prerequisite:  Senior standing, and completion of the lower and upper-division administration core courses. One upper-division core may be taken concurrently. Course prerequisites include: ADMN 1500, ECON 2201, ECON 2202, MGMT 2300, FIN 3001, IST 3110, MGMT 3020, MKTG 3050, PA 3150, SCM 3040, and MGMT 3900This capstone course integrates knowledge from all administration disciplines (such as accounting, entrepreneurship, finance, human resources, information and decision sciences, management, marketing, public administration, and supply chain management). Students will apply this knowledge to work in teams to complete a project in administration.
ADMN5753|ADMN|5753|Internship|3|Semester Prerequisite:  Consent of college internship coordinator. Quarter Prerequisite: senior standing preferred; consent of instructor and the departments internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 5753 or 5755 courses may be applied toward graduation. Graded credit/no credit. Formerly offered as ADMN 575.
ADMN5755|ADMN|5755|Internship|1|Semester Prerequisite:  Consent of college internship coordinator. Quarter Prerequisite: senior standing preferred; consent of instructor and the departments internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 5753 or 5755 courses may be applied toward graduation. Graded credit/no credit.
ADMN5910|ADMN|5910|Seminar in Administration|1|Intensive study of some phase of administration to be developed by instructor. May be repeated for credit as topics change. Formerly offered as ADMN 590B.
ADMN5915|ADMN|5915|Seminar in Administration|1|Intensive study of some phase of administration to be developed by instructor. May be repeated for credit as topics change.
ADMN5920|ADMN|5920|Seminar in Administration|2|Intensive study of some phase of administration to be developed by instructor. May be repeated for credit as topics change. Formerly offered as ADMN 590C.
ADMN5930|ADMN|5930|Seminar in Administration|3|Intensive study of some phase of administration to be developed by instructor. May be repeated for credit as topics change. Formerly offered as ADMN 590D.
ADMN5951|ADMN|5951|Independent Study|1|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Course is cross-listed across different departments within the college.
ADMN5952|ADMN|5952|Independent Study|2|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Formerly offered as 595B. Course is cross-listed across different departments within the college.
ADMN5953|ADMN|5953|Independent Study|3|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Formerly offered as 595D. Course is cross-listed across different departments within the college.
ADMN5955|ADMN|5955|Independent Study|1|Semester Prerequisite:  Junior status, or graduate statusSpecial topics involving library and/or field research. A total of 8 units in any Jack H. Brown College of Business and Public Administration 5951, 5952, 5953, 5955 may be applied toward graduation. Consent of instructor and approval by the department of a written project/proposal submitted to the appropriate department in the Jack H. Brown College of Business and Public Administration on a standard application filed in advance of the semester in which the course is to be taken. Course is cross-listed across different departments within the college.
ADMN6010|ADMN|6010|Data-Driven Decision Making|3|Advanced problem-solving qualitative and quantitative techniques to find, frame and solve difficult issues. Formerly offered as ADMN 601.
ADMN6020|ADMN|6020|Advanced Managerial Communications|3|Introduces students to the principles of communication strategy and persuasion, with a focus on written and oral presentation assignments to increase student proficiency in managerial communication.  Satisfies the graduate writing requirement. Formerly offered as ADMN 602.
ADMN6753|ADMN|6753|Internship|3|Semester Prerequisite:  consent of instructor and department's internship coordinator. Quarter Prerequisite: consent of instructor and department's internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 6753 or 6755 courses may be applied toward graduation. Graded credit/no credit. Formerly offered as ADMN 675.
ADMN6755|ADMN|6755|Internship|1|Semester Prerequisite:  Consent of college internship coordinator. Quarter Prerequisite: senior standing preferred; consent of instructor and the departments internship coordinatorSupervised work and study in private or public organizations. May be repeated for credit. A total of six units of Jack H. Brown College of Business and Public Administration 5753 or 5755 courses may be applied toward graduation. Graded credit/no credit.
ADMN6901|ADMN|6901|Policy Management in Seoul: Seoul Case Study Program|3|This course provides students with the analysis of major issues in management of global cities, specifically Seoul Metropolitan Government, the Republic of Korea (South Korea).  Topics include demographics, culture, social values, business practices, and urban development and civil service system of the Republic of Korea (South Korea).  The course consists of (a) pre-visit in-class lectures and (b) visit Seoul Metropolitan Government, the Republic of Korea (lectures and field trips).
ADMN6910|ADMN|6910|Advanced Topics in Administration|1|Intensive study of some advanced phase of administration to be developed by instructor. May be repeated for credit as topics change.
ADMN6915|ADMN|6915|Advanced Topics in Administration|1|Intensive study of some advanced phase of administration to be developed by instructor. May be repeated for credit as topics change.
ADMN6920|ADMN|6920|Advanced Topics in Administration|2|Intensive study of some advanced phase of administration to be developed by instructor. May be repeated for credit as topics change. Formerly offered as ADMN 690B.
ADMN6930|ADMN|6930|Advanced Topics in Administration|3|Intensive study of some advanced phase of administration to be developed by instructor. May be repeated for credit as topics change. Formerly offered as ADMN 690C.
ADMN6951|ADMN|6951|Directed Graduate Studies|1|Graduate-level independent study for students in Interdisciplinary Master of Arts programs; to be conducted under direct supervision of a faculty member from the students committee and, if an interdisciplinary studies major, with approval of the committee on graduate education and consent of the Dean of Graduate Studies. Formerly offered as ADMN 695A.
ADMN6952|ADMN|6952|Directed Graduate Studies|2|Graduate-level independent study for students in Interdisciplinary Master of Arts programs; to be conducted under direct supervision of a faculty member from the students committee and, if an interdisciplinary studies major, with  approval of the committee on graduate education and consent of the Dean of Graduate Studies. Formerly offered as ADMN 695B.
ADMN6953|ADMN|6953|Directed Graduate Studies|3|Graduate-level independent study for students in Interdisciplinary Master of Arts programs; to be conducted under direct supervision of a faculty member from the students committee and, if an interdisciplinary studies major, with  approval of the committee on graduate education and consent of the Dean of Graduate Studies. Formerly offered as ADMN 695C.
ADMN6980|ADMN|6980|MBA Portfolio|0|Semester Prerequisite:  Completion of 24 units in the program. Quarter Prerequisite: completion of 32 units in the programPreparation and submission of a portfolio containing assignments representing successful work in the MBA program, accompanied by a reflective essay showing how the portfolio demonstrates the accomplishment of the goals of the program. Formerly offered as ADMN 995.
ADMN6981|ADMN|6981|Comprehensive Assessment|0|Semester Prerequisite:   advancement to candidacy, approval of department, completion of core course work in the master program and in good academic standing. Quarter Prerequisite: advancement to candidacy, approval of department, completion of course work in the masters program and in good academic standingAn assessment of the students ability to integrate the knowledge of the area, show critical and independent thinking and demonstrate mastery of the subject matter in business. May be taken any fall, winter or spring term after advancement to candidacy. Formerly offered as ADMN 999.
ADMN6983|ADMN|6983|Culminating Business Administration Project|3|Culminating experience course develops the future manager's business analysis skills, integrating knowledge from the MBA Foundation and Essentials courses. Students will develop a comprehensive, written assessment that addresses a real, substantive business problem.
ADMN6991|ADMN|6991|Continuous Enrollment for Graduate Candidacy Standing|1|Quarter Prerequisite:  Advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ADMN6992|ADMN|6992|Continuous Enrollment for Graduate Candidacy Standing|2|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
ADMN6993|ADMN|6993|Continuous Enrollment for Graduate Candidacy Standing|3|Quarter Prerequisite:  advancement to candidacy and approval of program graduate coordinator or, if an interdisciplinary studies major, consent of the Dean of Graduate StudiesIndependent study leading to completion of requirements (other than course work) for the master's degree. To retain classified standing in the master's program, a student must enroll in a Continuous Enrollment for Graduate Candidacy Standing course each quarter until the project or thesis is accepted or the comprehensive examination passed. Students who enroll through the university have full use of all university facilities. See Culminating Experience: Exam, Thesis, or Project in Graduate Degree and Program Requirements section of the Bulletin of Courses. Continuous Enrollment for Graduate Candidacy Standing is a variable unit course, see fee schedule in the Financial Information section of the Bulletin of Courses. Earned units are not degree-applicable nor will they qualify for financial aid.
