ID|ID_Course|ID_Room|ID_Building|ID_Instructor|Start_Time|End_Time|Days|Max_Cap|Max_Wait
66|48|131|38|101|14:00:00|13:00:00|1|30|20
67|49|685|31|57|10:00:00|10:00:00|1|30|20
68|50|55|3|83|13:00:00|11:00:00|1|30|20
69|50|846|41|26|17:00:00|16:00:00|1|30|20
70|51|547|43|51|11:00:00|10:00:00|1|30|20
71|52|193|19|50|10:00:00|12:00:00|1|30|20
72|52|294|40|98|13:00:00|20:00:00|1|30|20
73|53|878|43|43|19:00:00|19:00:00|1|30|20
74|53|137|9|69|9:00:00|19:00:00|1|30|20
75|54|573|30|11|9:00:00|14:00:00|1|30|20
76|55|994|43|25|14:00:00|10:00:00|1|30|20
77|56|66|11|93|12:00:00|19:00:00|1|30|20
78|56|229|28|34|9:00:00|11:00:00|1|30|20
79|57|652|44|87|13:00:00|9:00:00|1|30|20
80|57|538|32|99|16:00:00|15:00:00|1|30|20
81|58|889|41|72|17:00:00|19:00:00|1|30|20
82|58|28|44|6|12:00:00|19:00:00|1|30|20
83|59|327|34|21|20:00:00|18:00:00|1|30|20
84|59|72|40|10|13:00:00|12:00:00|1|30|20
85|60|356|35|69|12:00:00|10:00:00|1|30|20
86|61|211|14|1|18:00:00|16:00:00|1|30|20
87|61|399|34|46|12:00:00|14:00:00|1|30|20
88|62|380|21|81|10:00:00|17:00:00|1|30|20
89|62|211|24|31|18:00:00|10:00:00|1|30|20
90|63|595|41|99|15:00:00|11:00:00|1|30|20
91|64|46|46|48|9:00:00|16:00:00|1|30|20
92|64|442|25|102|11:00:00|18:00:00|1|30|20
93|65|3|27|27|10:00:00|15:00:00|1|30|20
94|65|104|27|1|16:00:00|18:00:00|1|30|20
95|66|1022|45|19|16:00:00|14:00:00|1|30|20
96|66|263|46|21|18:00:00|12:00:00|1|30|20
97|67|404|25|26|10:00:00|20:00:00|1|30|20
98|67|418|27|41|12:00:00|16:00:00|1|30|20
99|68|139|43|62|12:00:00|17:00:00|1|30|20
100|68|400|28|53|13:00:00|16:00:00|1|30|20
101|69|87|11|93|12:00:00|16:00:00|1|30|20
102|69|257|46|78|13:00:00|11:00:00|1|30|20
103|70|556|34|34|20:00:00|15:00:00|1|30|20
104|71|356|26|40|20:00:00|16:00:00|1|30|20
105|72|37|34|123|10:00:00|19:00:00|1|30|20
106|73|316|41|80|19:00:00|13:00:00|1|30|20
107|74|299|27|116|13:00:00|14:00:00|1|30|20
108|74|129|43|83|10:00:00|17:00:00|1|30|20
109|75|771|43|27|12:00:00|16:00:00|1|30|20
110|75|161|33|67|16:00:00|13:00:00|1|30|20
111|76|80|13|3|9:00:00|13:00:00|1|30|20
112|76|643|38|63|16:00:00|16:00:00|1|30|20
113|77|71|15|9|14:00:00|17:00:00|1|30|20
114|77|565|26|28|19:00:00|12:00:00|1|30|20
115|78|323|26|83|11:00:00|14:00:00|1|30|20
116|79|701|44|120|16:00:00|11:00:00|1|30|20
117|80|500|33|95|20:00:00|20:00:00|1|30|20
118|81|989|45|93|14:00:00|11:00:00|1|30|20
119|81|265|11|49|9:00:00|20:00:00|1|30|20
120|82|768|34|80|18:00:00|16:00:00|1|30|20
121|83|704|37|11|13:00:00|14:00:00|1|30|20
122|83|130|35|73|20:00:00|10:00:00|1|30|20
123|84|54|5|62|19:00:00|16:00:00|1|30|20
124|84|428|35|23|14:00:00|19:00:00|1|30|20
125|85|815|35|47|11:00:00|17:00:00|1|30|20
126|85|108|18|103|9:00:00|15:00:00|1|30|20
127|86|7|35|6|16:00:00|10:00:00|1|30|20
128|87|822|37|120|13:00:00|19:00:00|1|30|20
129|87|414|41|54|20:00:00|15:00:00|1|30|20
130|88|257|39|54|19:00:00|15:00:00|1|30|20
131|89|53|28|101|12:00:00|11:00:00|1|30|20
132|89|447|20|21|14:00:00|11:00:00|1|30|20
133|90|111|40|88|16:00:00|13:00:00|1|30|20
134|91|739|35|63|15:00:00|11:00:00|1|30|20
135|91|380|34|25|12:00:00|17:00:00|1|30|20
136|92|71|23|124|20:00:00|9:00:00|1|30|20
137|92|98|40|110|18:00:00|17:00:00|1|30|20
138|93|275|38|26|10:00:00|11:00:00|1|30|20
139|94|231|31|41|14:00:00|18:00:00|1|30|20
140|94|906|44|14|20:00:00|15:00:00|1|30|20
141|95|324|38|33|15:00:00|20:00:00|1|30|20
142|96|225|33|33|17:00:00|12:00:00|1|30|20
143|96|70|3|121|17:00:00|10:00:00|1|30|20
144|97|399|29|83|17:00:00|20:00:00|1|30|20
145|97|425|22|4|10:00:00|18:00:00|1|30|20
146|98|440|44|93|15:00:00|11:00:00|1|30|20
147|99|457|42|35|13:00:00|9:00:00|1|30|20
148|100|545|26|83|14:00:00|16:00:00|1|30|20
149|101|527|45|30|15:00:00|15:00:00|1|30|20
150|101|523|46|80|11:00:00|17:00:00|1|30|20
151|102|372|46|24|11:00:00|14:00:00|1|30|20
152|103|385|37|40|10:00:00|13:00:00|1|30|20
153|104|1065|45|50|20:00:00|19:00:00|1|30|20
154|104|32|11|72|10:00:00|10:00:00|1|30|20
155|105|5|7|37|13:00:00|13:00:00|1|30|20
156|106|383|32|74|19:00:00|18:00:00|1|30|20
157|107|149|37|39|17:00:00|18:00:00|1|30|20
158|107|402|22|99|19:00:00|13:00:00|1|30|20
159|108|50|38|25|10:00:00|15:00:00|1|30|20
160|109|177|19|73|17:00:00|14:00:00|1|30|20
161|110|982|42|124|18:00:00|16:00:00|1|30|20
162|111|775|39|106|17:00:00|17:00:00|1|30|20
163|111|218|21|70|9:00:00|11:00:00|1|30|20
164|112|32|14|7|15:00:00|15:00:00|1|30|20
165|112|627|36|1|15:00:00|20:00:00|1|30|20
166|113|571|31|22|16:00:00|16:00:00|1|30|20
167|114|589|43|86|14:00:00|15:00:00|1|30|20
168|114|948|42|16|15:00:00|9:00:00|1|30|20
169|115|119|32|47|18:00:00|10:00:00|1|30|20
170|115|184|35|46|20:00:00|12:00:00|1|30|20
171|116|537|27|117|19:00:00|19:00:00|1|30|20
172|117|104|38|86|20:00:00|10:00:00|1|30|20
173|117|552|38|81|15:00:00|20:00:00|1|30|20
174|118|244|18|65|17:00:00|19:00:00|1|30|20
175|118|569|35|105|17:00:00|10:00:00|1|30|20
176|119|116|42|108|13:00:00|18:00:00|1|30|20
177|120|142|36|36|18:00:00|15:00:00|1|30|20
178|121|513|28|73|10:00:00|14:00:00|1|30|20
179|122|378|25|81|19:00:00|18:00:00|1|30|20
180|122|509|27|119|14:00:00|10:00:00|1|30|20
181|123|398|19|54|11:00:00|16:00:00|1|30|20
182|123|1052|44|88|17:00:00|9:00:00|1|30|20
183|124|656|39|86|19:00:00|16:00:00|1|30|20
184|124|629|43|47|18:00:00|17:00:00|1|30|20
185|125|470|21|62|15:00:00|16:00:00|1|30|20
186|125|957|42|55|19:00:00|16:00:00|1|30|20
187|126|58|34|92|18:00:00|11:00:00|1|30|20
188|126|341|32|41|13:00:00|17:00:00|1|30|20
189|127|669|42|24|16:00:00|11:00:00|1|30|20
190|128|473|23|94|17:00:00|18:00:00|1|30|20
191|128|902|39|120|9:00:00|19:00:00|1|30|20
192|129|208|46|79|13:00:00|14:00:00|1|30|20
193|130|254|18|18|13:00:00|15:00:00|1|30|20
194|130|164|46|54|18:00:00|15:00:00|1|30|20
195|131|24|20|89|18:00:00|12:00:00|1|30|20
196|131|858|37|71|9:00:00|11:00:00|1|30|20
197|132|173|18|113|19:00:00|11:00:00|1|30|20
198|132|51|17|76|19:00:00|13:00:00|1|30|20
199|133|888|39|91|9:00:00|20:00:00|1|30|20
200|133|201|12|86|13:00:00|14:00:00|1|30|20
201|134|370|25|21|19:00:00|12:00:00|1|30|20
202|134|438|42|75|14:00:00|9:00:00|1|30|20
203|135|56|21|16|16:00:00|9:00:00|1|30|20
204|135|318|23|15|15:00:00|10:00:00|1|30|20
205|136|629|43|65|18:00:00|19:00:00|1|30|20
206|137|866|41|83|14:00:00|10:00:00|1|30|20
207|138|347|45|34|18:00:00|17:00:00|1|30|20
208|138|810|39|45|20:00:00|9:00:00|1|30|20
209|139|282|33|35|11:00:00|13:00:00|1|30|20
210|140|667|41|45|15:00:00|10:00:00|1|30|20
211|140|285|41|18|19:00:00|11:00:00|1|30|20
212|141|285|33|8|10:00:00|14:00:00|1|30|20
213|142|83|43|36|10:00:00|20:00:00|1|30|20
214|143|254|12|79|18:00:00|20:00:00|1|30|20
215|144|248|16|111|16:00:00|10:00:00|1|30|20
216|144|560|46|10|17:00:00|14:00:00|1|30|20
217|145|85|36|35|18:00:00|9:00:00|1|30|20
218|145|781|35|113|17:00:00|18:00:00|1|30|20
219|146|38|30|68|19:00:00|20:00:00|1|30|20
220|147|818|41|83|18:00:00|14:00:00|1|30|20
221|147|816|42|75|19:00:00|11:00:00|1|30|20
222|148|271|44|7|17:00:00|11:00:00|1|30|20
223|148|712|34|35|16:00:00|11:00:00|1|30|20
224|149|12|43|106|13:00:00|11:00:00|1|30|20
225|149|722|42|114|15:00:00|10:00:00|1|30|20
226|150|138|10|62|17:00:00|16:00:00|1|30|20
227|151|768|45|123|10:00:00|9:00:00|1|30|20
228|152|616|44|62|9:00:00|17:00:00|1|30|20
229|153|458|22|41|9:00:00|10:00:00|1|30|20
230|154|775|36|122|12:00:00|17:00:00|1|30|20
231|154|67|7|13|10:00:00|12:00:00|1|30|20
232|155|337|21|68|14:00:00|10:00:00|1|30|20
233|155|633|44|9|19:00:00|12:00:00|1|30|20
234|156|820|37|50|13:00:00|17:00:00|1|30|20
235|157|924|45|57|19:00:00|13:00:00|1|30|20
236|158|662|33|6|14:00:00|16:00:00|1|30|20
237|158|223|24|108|10:00:00|9:00:00|1|30|20
238|159|613|38|40|12:00:00|15:00:00|1|30|20
239|160|161|43|16|12:00:00|9:00:00|1|30|20
240|160|419|27|36|13:00:00|15:00:00|1|30|20
241|161|161|34|72|9:00:00|12:00:00|1|30|20
242|161|138|10|60|12:00:00|14:00:00|1|30|20
243|162|824|39|100|18:00:00|11:00:00|1|30|20
244|162|702|46|116|9:00:00|14:00:00|1|30|20
245|163|143|8|63|9:00:00|10:00:00|1|30|20
246|164|471|23|52|19:00:00|13:00:00|1|30|20
247|164|428|31|17|9:00:00|10:00:00|1|30|20
248|165|585|31|110|13:00:00|11:00:00|1|30|20
249|165|719|32|6|12:00:00|12:00:00|1|30|20
250|166|262|34|42|12:00:00|12:00:00|1|30|20
251|166|316|45|79|12:00:00|15:00:00|1|30|20
252|167|430|42|64|12:00:00|17:00:00|1|30|20
253|167|25|20|71|18:00:00|10:00:00|1|30|20
254|168|131|10|95|14:00:00|15:00:00|1|30|20
255|169|65|34|58|18:00:00|14:00:00|1|30|20
256|169|866|42|13|14:00:00|13:00:00|1|30|20
257|170|488|23|68|17:00:00|12:00:00|1|30|20
258|170|105|12|101|17:00:00|11:00:00|1|30|20
259|171|50|9|55|9:00:00|11:00:00|1|30|20
260|171|201|36|77|13:00:00|17:00:00|1|30|20
261|172|295|34|9|18:00:00|13:00:00|1|30|20
262|173|227|12|58|9:00:00|13:00:00|1|30|20
263|174|519|37|29|13:00:00|11:00:00|1|30|20
264|174|371|23|79|20:00:00|18:00:00|1|30|20
265|175|27|7|76|10:00:00|9:00:00|1|30|20
266|175|736|36|110|16:00:00|9:00:00|1|30|20
267|176|437|20|84|15:00:00|19:00:00|1|30|20
268|176|775|44|34|9:00:00|9:00:00|1|30|20
269|177|2|40|83|13:00:00|9:00:00|1|30|20
270|177|864|36|101|10:00:00|18:00:00|1|30|20
271|178|31|45|22|9:00:00|18:00:00|1|30|20
272|178|775|33|119|20:00:00|19:00:00|1|30|20
273|179|27|45|120|14:00:00|20:00:00|1|30|20
274|180|444|26|88|13:00:00|19:00:00|1|30|20
275|181|423|34|7|9:00:00|10:00:00|1|30|20
276|182|518|25|103|11:00:00|16:00:00|1|30|20
277|182|207|13|34|18:00:00|17:00:00|1|30|20
278|183|365|31|45|13:00:00|19:00:00|1|30|20
279|184|218|15|124|11:00:00|12:00:00|1|30|20
280|184|348|36|85|12:00:00|13:00:00|1|30|20
281|185|122|31|30|18:00:00|18:00:00|1|30|20
282|186|710|33|63|14:00:00|14:00:00|1|30|20
283|187|167|10|41|20:00:00|14:00:00|1|30|20
284|188|440|28|104|20:00:00|14:00:00|1|30|20
285|189|497|31|92|12:00:00|13:00:00|1|30|20
286|189|243|13|59|15:00:00|12:00:00|1|30|20
287|190|249|35|79|10:00:00|20:00:00|1|30|20
288|190|922|44|49|15:00:00|17:00:00|1|30|20
289|191|51|8|111|12:00:00|17:00:00|1|30|20
290|191|169|39|111|10:00:00|18:00:00|1|30|20
291|192|505|33|100|11:00:00|19:00:00|1|30|20
292|193|289|35|6|19:00:00|14:00:00|1|30|20
293|193|3|27|87|20:00:00|11:00:00|1|30|20
294|194|399|23|110|12:00:00|10:00:00|1|30|20
295|194|509|43|51|20:00:00|10:00:00|1|30|20
296|195|672|38|111|18:00:00|14:00:00|1|30|20
297|195|395|31|78|16:00:00|14:00:00|1|30|20
298|196|225|22|35|12:00:00|14:00:00|1|30|20
299|197|754|35|88|10:00:00|11:00:00|1|30|20
300|198|848|41|116|11:00:00|10:00:00|1|30|20
301|198|21|3|106|19:00:00|10:00:00|1|30|20
302|199|31|30|34|15:00:00|10:00:00|1|30|20
303|200|250|35|123|9:00:00|19:00:00|1|30|20
304|201|997|45|84|14:00:00|19:00:00|1|30|20
305|202|344|22|104|20:00:00|17:00:00|1|30|20
306|202|139|42|107|16:00:00|16:00:00|1|30|20
307|203|13|40|121|14:00:00|18:00:00|1|30|20
308|203|49|5|61|13:00:00|13:00:00|1|30|20
309|204|497|25|18|20:00:00|9:00:00|1|30|20
310|205|720|44|102|15:00:00|18:00:00|1|30|20
311|205|631|45|29|19:00:00|19:00:00|1|30|20
312|206|144|28|95|19:00:00|15:00:00|1|30|20
313|207|62|37|18|13:00:00|14:00:00|1|30|20
314|208|321|16|43|9:00:00|11:00:00|1|30|20
315|208|465|35|114|15:00:00|14:00:00|1|30|20
316|209|619|32|20|11:00:00|14:00:00|1|30|20
317|210|265|36|78|10:00:00|11:00:00|1|30|20
318|210|477|24|73|13:00:00|18:00:00|1|30|20
319|211|173|15|61|11:00:00|10:00:00|1|30|20
320|211|36|39|47|16:00:00|14:00:00|1|30|20
321|212|242|36|122|12:00:00|17:00:00|1|30|20
322|213|310|32|65|12:00:00|10:00:00|1|30|20
323|214|529|43|72|19:00:00|12:00:00|1|30|20
324|215|170|43|30|11:00:00|19:00:00|1|30|20
325|215|201|45|77|15:00:00|11:00:00|1|30|20
326|216|443|31|41|11:00:00|10:00:00|1|30|20
327|217|453|44|66|13:00:00|20:00:00|1|30|20
328|218|510|23|103|15:00:00|15:00:00|1|30|20
329|218|66|17|59|19:00:00|15:00:00|1|30|20
330|219|788|38|47|11:00:00|12:00:00|1|30|20
331|220|380|27|23|10:00:00|10:00:00|1|30|20
332|220|117|40|97|9:00:00|17:00:00|1|30|20
333|221|100|11|22|17:00:00|14:00:00|1|30|20
334|221|282|20|72|14:00:00|15:00:00|1|30|20
335|222|671|31|1|17:00:00|11:00:00|1|30|20
336|222|578|29|93|18:00:00|14:00:00|1|30|20
337|223|367|32|90|17:00:00|11:00:00|1|30|20
338|224|956|45|48|9:00:00|16:00:00|1|30|20
339|225|877|39|62|13:00:00|18:00:00|1|30|20
340|226|94|6|70|15:00:00|14:00:00|1|30|20
341|227|844|42|33|16:00:00|16:00:00|1|30|20
342|227|462|43|83|15:00:00|15:00:00|1|30|20
343|228|967|43|83|19:00:00|20:00:00|1|30|20
344|229|84|9|3|11:00:00|10:00:00|1|30|20
345|230|492|27|52|13:00:00|10:00:00|1|30|20
346|230|711|43|25|14:00:00|19:00:00|1|30|20
347|231|256|18|13|9:00:00|16:00:00|1|30|20
348|232|320|27|101|16:00:00|11:00:00|1|30|20
349|233|380|35|79|20:00:00|15:00:00|1|30|20
350|234|525|30|67|10:00:00|16:00:00|1|30|20
351|235|670|38|81|9:00:00|11:00:00|1|30|20
352|235|596|45|48|14:00:00|16:00:00|1|30|20
353|236|87|27|21|14:00:00|15:00:00|1|30|20
354|237|462|41|71|15:00:00|15:00:00|1|30|20
355|238|174|25|32|15:00:00|9:00:00|1|30|20
356|239|206|14|93|13:00:00|17:00:00|1|30|20
357|240|506|45|78|16:00:00|17:00:00|1|30|20
358|241|359|39|2|14:00:00|16:00:00|1|30|20
359|241|404|19|47|15:00:00|9:00:00|1|30|20
360|242|816|46|37|19:00:00|16:00:00|1|30|20
361|242|238|45|1|9:00:00|19:00:00|1|30|20
362|243|232|32|57|10:00:00|13:00:00|1|30|20
363|243|70|15|112|9:00:00|14:00:00|1|30|20
364|244|87|25|31|20:00:00|20:00:00|1|30|20
365|245|191|22|21|16:00:00|14:00:00|1|30|20
366|246|953|40|4|19:00:00|18:00:00|1|30|20
367|246|670|34|92|11:00:00|15:00:00|1|30|20
368|247|10|3|9|18:00:00|16:00:00|1|30|20
369|248|252|12|25|13:00:00|18:00:00|1|30|20
370|249|589|25|31|16:00:00|11:00:00|1|30|20
371|250|313|17|88|10:00:00|15:00:00|1|30|20
372|251|101|7|37|18:00:00|12:00:00|1|30|20
373|251|247|10|60|17:00:00|10:00:00|1|30|20
374|252|131|10|99|12:00:00|17:00:00|1|30|20
375|253|365|40|119|16:00:00|14:00:00|1|30|20
376|254|217|13|71|12:00:00|13:00:00|1|30|20
377|254|89|36|93|16:00:00|12:00:00|1|30|20
378|255|655|39|84|9:00:00|10:00:00|1|30|20
379|255|232|34|109|15:00:00|12:00:00|1|30|20
380|256|729|38|96|14:00:00|18:00:00|1|30|20
381|256|844|38|28|18:00:00|11:00:00|1|30|20
382|257|720|39|68|12:00:00|10:00:00|1|30|20
383|258|201|9|40|14:00:00|10:00:00|1|30|20
384|258|310|31|37|13:00:00|18:00:00|1|30|20
385|259|734|35|52|18:00:00|15:00:00|1|30|20
386|259|244|40|33|19:00:00|16:00:00|1|30|20
387|260|380|42|71|17:00:00|10:00:00|1|30|20
388|261|157|14|78|18:00:00|15:00:00|1|30|20
389|262|44|46|72|12:00:00|14:00:00|1|30|20
390|262|201|31|110|18:00:00|10:00:00|1|30|20
391|263|22|13|5|17:00:00|18:00:00|1|30|20
392|264|1064|45|65|18:00:00|17:00:00|1|30|20
393|264|200|36|119|9:00:00|12:00:00|1|30|20
394|265|176|46|11|9:00:00|13:00:00|1|30|20
395|266|25|2|25|11:00:00|17:00:00|1|30|20
396|266|1043|46|73|16:00:00|17:00:00|1|30|20
397|267|385|36|107|10:00:00|11:00:00|1|30|20
398|267|738|44|16|11:00:00|11:00:00|1|30|20
399|268|305|44|81|17:00:00|19:00:00|1|30|20
400|269|106|13|9|15:00:00|9:00:00|1|30|20
401|270|727|43|31|11:00:00|18:00:00|1|30|20
402|270|155|33|4|16:00:00|10:00:00|1|30|20
403|271|2|11|29|18:00:00|15:00:00|1|30|20
404|272|479|39|82|19:00:00|11:00:00|1|30|20
405|272|498|27|82|15:00:00|15:00:00|1|30|20
406|273|833|40|114|16:00:00|20:00:00|1|30|20
407|273|406|42|18|17:00:00|16:00:00|1|30|20
408|274|176|17|88|12:00:00|18:00:00|1|30|20
409|274|107|13|59|18:00:00|18:00:00|1|30|20
410|275|228|29|63|14:00:00|11:00:00|1|30|20
411|276|1082|46|11|13:00:00|18:00:00|1|30|20
412|276|159|31|89|19:00:00|15:00:00|1|30|20
413|277|326|44|33|15:00:00|10:00:00|1|30|20
414|277|164|42|37|11:00:00|11:00:00|1|30|20
415|278|231|39|44|15:00:00|15:00:00|1|30|20
416|279|448|35|83|14:00:00|14:00:00|1|30|20
417|279|388|27|59|12:00:00|20:00:00|1|30|20
418|280|66|28|83|14:00:00|18:00:00|1|30|20
419|281|318|20|81|15:00:00|13:00:00|1|30|20
420|282|210|24|66|10:00:00|15:00:00|1|30|20
421|283|488|25|15|20:00:00|9:00:00|1|30|20
422|284|14|42|88|17:00:00|16:00:00|1|30|20
423|284|716|40|24|17:00:00|16:00:00|1|30|20
424|285|832|45|58|15:00:00|20:00:00|1|30|20
425|285|220|46|41|17:00:00|16:00:00|1|30|20
426|286|455|31|123|14:00:00|15:00:00|1|30|20
427|286|425|39|31|17:00:00|13:00:00|1|30|20
428|287|4|14|118|20:00:00|9:00:00|1|30|20
429|287|161|8|41|10:00:00|10:00:00|1|30|20
430|288|751|33|36|20:00:00|14:00:00|1|30|20
431|288|168|31|58|17:00:00|10:00:00|1|30|20
432|289|890|42|116|10:00:00|16:00:00|1|30|20
433|289|755|38|93|19:00:00|9:00:00|1|30|20
434|290|37|17|6|11:00:00|15:00:00|1|30|20
435|290|141|31|113|20:00:00|13:00:00|1|30|20
436|291|600|43|27|16:00:00|9:00:00|1|30|20
437|291|194|27|57|15:00:00|19:00:00|1|30|20
438|292|455|28|119|15:00:00|9:00:00|1|30|20
439|293|188|37|79|10:00:00|11:00:00|1|30|20
440|294|329|46|9|12:00:00|18:00:00|1|30|20
441|295|391|44|99|11:00:00|14:00:00|1|30|20
442|295|258|34|69|15:00:00|12:00:00|1|30|20
443|296|497|35|32|17:00:00|15:00:00|1|30|20
444|296|727|40|119|10:00:00|11:00:00|1|30|20
445|297|366|30|79|12:00:00|19:00:00|1|30|20
446|298|316|37|45|14:00:00|19:00:00|1|30|20
447|299|148|25|29|9:00:00|12:00:00|1|30|20
448|299|875|39|59|11:00:00|17:00:00|1|30|20
449|300|227|40|11|13:00:00|11:00:00|1|30|20
450|301|5|30|115|16:00:00|12:00:00|1|30|20
451|302|965|43|115|20:00:00|16:00:00|1|30|20
452|303|249|11|72|13:00:00|13:00:00|1|30|20
453|303|975|46|26|14:00:00|16:00:00|1|30|20
454|304|715|33|92|17:00:00|9:00:00|1|30|20
455|304|97|5|15|16:00:00|12:00:00|1|30|20
456|305|206|42|22|17:00:00|10:00:00|1|30|20
457|305|273|15|110|16:00:00|20:00:00|1|30|20
458|306|83|17|36|13:00:00|14:00:00|1|30|20
459|307|18|23|13|11:00:00|9:00:00|1|30|20
460|308|125|33|89|14:00:00|19:00:00|1|30|20
461|309|54|43|72|15:00:00|11:00:00|1|30|20
462|309|96|23|11|15:00:00|19:00:00|1|30|20
463|310|2|16|13|18:00:00|17:00:00|1|30|20
464|311|310|27|26|11:00:00|19:00:00|1|30|20
465|312|73|5|72|18:00:00|10:00:00|1|30|20
466|313|153|46|24|17:00:00|12:00:00|1|30|20
467|313|205|16|116|9:00:00|11:00:00|1|30|20
468|314|542|42|10|20:00:00|11:00:00|1|30|20
469|314|486|44|115|15:00:00|14:00:00|1|30|20
470|315|99|45|31|17:00:00|11:00:00|1|30|20
471|315|514|39|40|13:00:00|16:00:00|1|30|20
472|316|527|42|53|20:00:00|15:00:00|1|30|20
473|316|234|16|21|17:00:00|19:00:00|1|30|20
474|317|277|34|35|15:00:00|11:00:00|1|30|20
475|317|3|14|62|14:00:00|12:00:00|1|30|20
476|318|771|38|85|12:00:00|19:00:00|1|30|20
477|318|483|25|84|13:00:00|18:00:00|1|30|20
478|319|166|22|87|13:00:00|12:00:00|1|30|20
479|319|239|32|12|11:00:00|12:00:00|1|30|20
480|320|182|18|74|15:00:00|11:00:00|1|30|20
481|321|10|29|51|10:00:00|16:00:00|1|30|20
482|322|696|31|12|18:00:00|19:00:00|1|30|20
483|323|632|28|7|18:00:00|20:00:00|1|30|20
484|323|311|26|91|9:00:00|19:00:00|1|30|20
485|324|619|37|18|12:00:00|16:00:00|1|30|20
486|325|609|35|11|9:00:00|11:00:00|1|30|20
487|325|483|33|24|18:00:00|9:00:00|1|30|20
488|326|634|42|83|14:00:00|20:00:00|1|30|20
489|327|669|42|56|14:00:00|9:00:00|1|30|20
490|327|12|45|114|17:00:00|19:00:00|1|30|20
491|328|425|38|70|9:00:00|11:00:00|1|30|20
492|328|372|22|54|19:00:00|10:00:00|1|30|20
493|329|366|25|85|20:00:00|16:00:00|1|30|20
494|329|209|27|24|15:00:00|11:00:00|1|30|20
495|330|693|43|75|14:00:00|9:00:00|1|30|20
